
  0%|          | 0/1024 [00:00<?, ?it/s]
Epoch:0, iter: 1. loss: 5.5816. loss_x: 5.5816. loss_u: 0.0001. lambda_u: 0.0000. Time: 0.35:   0%|          | 0/1024 [00:00<?, ?it/s]
Epoch:0, iter: 1. loss: 5.5816. loss_x: 5.5816. loss_u: 0.0001. lambda_u: 0.0000. Time: 0.35:   0%|          | 1/1024 [00:00<03:17,  5.18it/s]
Epoch:0, iter: 2. loss: 5.5554. loss_x: 5.5554. loss_u: 0.0001. lambda_u: 0.0001. Time: 0.11:   0%|          | 1/1024 [00:00<03:17,  5.18it/s]
Epoch:0, iter: 2. loss: 5.5554. loss_x: 5.5554. loss_u: 0.0001. lambda_u: 0.0001. Time: 0.11:   0%|          | 2/1024 [00:00<02:24,  7.05it/s]
Epoch:0, iter: 3. loss: 5.5127. loss_x: 5.5127. loss_u: 0.0001. lambda_u: 0.0001. Time: 0.08:   0%|          | 2/1024 [00:00<02:24,  7.05it/s]
Epoch:0, iter: 4. loss: 5.5005. loss_x: 5.5005. loss_u: 0.0001. lambda_u: 0.0002. Time: 0.08:   0%|          | 2/1024 [00:00<02:24,  7.05it/s]
Epoch:0, iter: 4. loss: 5.5005. loss_x: 5.5005. loss_u: 0.0001. lambda_u: 0.0002. Time: 0.08:   0%|          | 4/1024 [00:00<01:46,  9.56it/s]
Epoch:0, iter: 5. loss: 5.4861. loss_x: 5.4861. loss_u: 0.0001. lambda_u: 0.0003. Time: 0.09:   0%|          | 4/1024 [00:00<01:46,  9.56it/s]
Epoch:0, iter: 6. loss: 5.4554. loss_x: 5.4554. loss_u: 0.0001. lambda_u: 0.0004. Time: 0.09:   0%|          | 4/1024 [00:00<01:46,  9.56it/s]
Epoch:0, iter: 6. loss: 5.4554. loss_x: 5.4554. loss_u: 0.0001. lambda_u: 0.0004. Time: 0.09:   1%|          | 6/1024 [00:00<01:38, 10.38it/s]
Epoch:0, iter: 7. loss: 5.4342. loss_x: 5.4342. loss_u: 0.0001. lambda_u: 0.0004. Time: 0.09:   1%|          | 6/1024 [00:00<01:38, 10.38it/s]
Epoch:0, iter: 8. loss: 5.4082. loss_x: 5.4082. loss_u: 0.0001. lambda_u: 0.0005. Time: 0.08:   1%|          | 6/1024 [00:00<01:38, 10.38it/s]
Epoch:0, iter: 8. loss: 5.4082. loss_x: 5.4082. loss_u: 0.0001. lambda_u: 0.0005. Time: 0.08:   1%|          | 8/1024 [00:00<01:33, 10.83it/s]
Epoch:0, iter: 9. loss: 5.3677. loss_x: 5.3677. loss_u: 0.0001. lambda_u: 0.0006. Time: 0.08:   1%|          | 8/1024 [00:00<01:33, 10.83it/s]
Epoch:0, iter: 10. loss: 5.3261. loss_x: 5.3261. loss_u: 0.0001. lambda_u: 0.0006. Time: 0.09:   1%|          | 8/1024 [00:00<01:33, 10.83it/s]
Epoch:0, iter: 10. loss: 5.3261. loss_x: 5.3261. loss_u: 0.0001. lambda_u: 0.0006. Time: 0.09:   1%|          | 10/1024 [00:00<01:31, 11.04it/s]
Epoch:0, iter: 11. loss: 5.3067. loss_x: 5.3067. loss_u: 0.0001. lambda_u: 0.0007. Time: 0.11:   1%|          | 10/1024 [00:01<01:31, 11.04it/s]
Epoch:0, iter: 12. loss: 5.2713. loss_x: 5.2713. loss_u: 0.0001. lambda_u: 0.0008. Time: 0.08:   1%|          | 10/1024 [00:01<01:31, 11.04it/s]
Epoch:0, iter: 12. loss: 5.2713. loss_x: 5.2713. loss_u: 0.0001. lambda_u: 0.0008. Time: 0.08:   1%|          | 12/1024 [00:01<01:33, 10.85it/s]
Epoch:0, iter: 13. loss: 5.2558. loss_x: 5.2558. loss_u: 0.0001. lambda_u: 0.0009. Time: 0.09:   1%|          | 12/1024 [00:01<01:33, 10.85it/s]
Epoch:0, iter: 14. loss: 5.2176. loss_x: 5.2176. loss_u: 0.0001. lambda_u: 0.0009. Time: 0.08:   1%|          | 12/1024 [00:01<01:33, 10.85it/s]
Epoch:0, iter: 14. loss: 5.2176. loss_x: 5.2176. loss_u: 0.0001. lambda_u: 0.0009. Time: 0.08:   1%|▏         | 14/1024 [00:01<01:30, 11.12it/s]
Epoch:0, iter: 15. loss: 5.1948. loss_x: 5.1948. loss_u: 0.0001. lambda_u: 0.0010. Time: 0.08:   1%|▏         | 14/1024 [00:01<01:30, 11.12it/s]
Epoch:0, iter: 16. loss: 5.1659. loss_x: 5.1659. loss_u: 0.0001. lambda_u: 0.0011. Time: 0.08:   1%|▏         | 14/1024 [00:01<01:30, 11.12it/s]
Epoch:0, iter: 16. loss: 5.1659. loss_x: 5.1659. loss_u: 0.0001. lambda_u: 0.0011. Time: 0.08:   2%|▏         | 16/1024 [00:01<01:28, 11.39it/s]
Epoch:0, iter: 17. loss: 5.1606. loss_x: 5.1606. loss_u: 0.0001. lambda_u: 0.0011. Time: 0.08:   2%|▏         | 16/1024 [00:01<01:28, 11.39it/s]
Epoch:0, iter: 18. loss: 5.1383. loss_x: 5.1383. loss_u: 0.0001. lambda_u: 0.0012. Time: 0.08:   2%|▏         | 16/1024 [00:01<01:28, 11.39it/s]
Epoch:0, iter: 18. loss: 5.1383. loss_x: 5.1383. loss_u: 0.0001. lambda_u: 0.0012. Time: 0.08:   2%|▏         | 18/1024 [00:01<01:26, 11.59it/s]
Epoch:0, iter: 19. loss: 5.1218. loss_x: 5.1218. loss_u: 0.0001. lambda_u: 0.0013. Time: 0.08:   2%|▏         | 18/1024 [00:01<01:26, 11.59it/s]
Epoch:0, iter: 20. loss: 5.1101. loss_x: 5.1101. loss_u: 0.0001. lambda_u: 0.0014. Time: 0.10:   2%|▏         | 18/1024 [00:01<01:26, 11.59it/s]
Epoch:0, iter: 20. loss: 5.1101. loss_x: 5.1101. loss_u: 0.0001. lambda_u: 0.0014. Time: 0.10:   2%|▏         | 20/1024 [00:01<01:28, 11.34it/s]
Epoch:0, iter: 21. loss: 5.0923. loss_x: 5.0923. loss_u: 0.0001. lambda_u: 0.0014. Time: 0.08:   2%|▏         | 20/1024 [00:01<01:28, 11.34it/s]
Epoch:0, iter: 22. loss: 5.0685. loss_x: 5.0685. loss_u: 0.0001. lambda_u: 0.0015. Time: 0.08:   2%|▏         | 20/1024 [00:02<01:28, 11.34it/s]
Epoch:0, iter: 22. loss: 5.0685. loss_x: 5.0685. loss_u: 0.0001. lambda_u: 0.0015. Time: 0.08:   2%|▏         | 22/1024 [00:02<01:26, 11.61it/s]
